GeneSymbol	D0-DC-n1	D0-DC-n2	D0-DP-n1	D0-DP-n2	D0-DP-n3	D4-DC-n1	D4-DC-n2	D4-DC-n3	D4-DP-n1	D4-DP-n2	D4-DP-n3	D7-DC-n1	D7-DC-n2	D7-DP-n1	D7-DP-n2	D7-DP-n3
Slc6a18	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a19	194	192	1858	2300	2056	54	69	8	963	159	204	167	372	931	1416	2415
Slc6a19os	10	10	90	117	85	0	0	0	82	0	0	12	33	50	71	174
Slc6a2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Slc6a20a	87	50	0	0	0	0	0	2	1	0	5	52	35	0	0	0
Slc6a20b	4	6	2	0	0	0	30	0	4	1	0	1	5	2	3	4
Slc6a3	8	10	0	10	2	0	0	0	0	0	0	2	0	0	0	0
Slc6a4	13	0	0	0	0	0	0	164	0	0	0	4	14	0	0	0
Slc6a6	6036	5678	1534	2835	2651	9033	10427	10137	2796	3122	2561	6857	8491	1792	2549	3413
Slc6a7	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0
Slc6a8	10	19	44	9	12	71	62	29	14	0	11	58	65	34	34	22
Slc6a9	170	128	0	0	0	0	0	30	0	2	0	82	192	0	0	0
Slc7a1	919	895	578	611	755	920	1156	762	888	1424	1358	815	857	829	751	794
Slc7a10	13	11	20	0	0	0	0	4	0	0	9	8	13	0	0	0
Slc7a11	1184	1653	2535	2972	3075	658	1553	1070	1523	36	109	173	397	487	1508	2185
Slc7a13	0	0	0	0	0	111	60	120	0	0	0	31	20	0	0	0
Slc7a14	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0
Slc7a15	0	0	0	0	0	0	0	17	0	0	0	3	0	0	0	0
Slc7a2	128	80	12	10	2	54	570	339	0	24	33	448	659	0	2	2
Slc7a3	26	28	21	0	10	0	26	0	0	49	37	6	2	8	6	2
Slc7a4	118	87	57	0	32	22	82	109	12	15	66	210	218	0	12	38
Slc7a5	4466	5102	2930	2947	2888	2475	3092	3031	5389	7759	6626	3382	4448	1975	2636	3903
Slc7a6	1129	978	2574	1746	1645	874	1063	780	1699	2416	2020	770	969	1116	1901	2306
Slc7a6os	686	813	1285	1533	1083	696	705	526	1153	1113	883	644	827	1224	1537	1692
Slc7a7	1231	1197	121	166	113	1455	2002	1508	253	108	162	3326	3642	135	128	110
Slc7a8	2941	3320	70	72	26	2184	3647	4048	34	85	155	2763	3664	0	19	13
Slc8a1	330	295	0	2	6	109	342	301	10	9	0	586	537	0	0	2
Slc8a2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0
Slc8b1	2646	2650	145	176	146	2338	2767	3197	186	259	258	5200	5860	265	214	403
Slc9a1	989	915	327	667	638	486	849	613	896	663	613	549	849	330	673	780
Slc9a2	21	56	0	3	0	36	16	86	25	7	20	5	14	5	0	0
Slc9a3r1	4365	4774	6567	9478	8539	6013	6737	6588	7482	7866	7164	4200	5568	9326	9945	12627
Slc9a3r2	290	174	23	36	61	1605	2371	1604	80	77	82	585	733	29	39	46
Slc9a4	15	20	0	0	0	191	305	233	0	0	0	34	48	0	0	0
Slc9a5	12	20	12	76	18	17	0	0	33	22	10	12	22	12	43	29
Slc9a6	648	516	831	549	457	753	634	764	624	645	501	567	942	428	508	792
Slc9a7	1528	1717	145	79	119	534	929	503	177	129	173	1242	1319	65	44	99
Slc9a8	1632	1636	1021	803	883	493	1341	1230	1054	1398	1328	1060	1544	616	712	1149
Slc9a9	4607	5115	3747	4550	4407	2450	4112	3795	4170	1414	1623	4333	5740	3440	5705	8793
Slc9b1	0	0	5	1	0	0	0	5	0	0	0	0	2	1	0	1
Slc9b2	20	9	25	0	9	19	0	13	31	50	63	6	20	5	0	23
Slc9c1	0	0	0	0	0	6	0	0	0	0	0	6	2	0	0	0
Slco1a5	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0
Slco1c1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Slco2a1	11	0	0	0	0	0	22	34	8	20	20	10	36	0	0	0
Slco2b1	573	421	101	32	13	2633	4635	5766	110	73	76	2425	3641	0	19	14
Slco3a1	2484	2703	1064	3177	2930	1282	1837	1440	2048	1219	1362	3128	3240	2189	2807	4389
Slco4a1	2957	2946	389	533	486	116	317	196	586	413	356	336	466	613	834	1013
Slco4c1	192	189	0	0	0	34	0	12	0	0	0	6	6	0	0	0
Slco5a1	131	94	13	7	1	26	24	62	8	0	0	22	16	0	0	6
SlcUbl4a	1	0	1	1	2	1	0	1	2	0	2	3	0	3	0	0
Slfn1	869	716	501	410	284	1578	1741	1774	1103	2541	3045	571	528	263	418	455
Slfn10-ps	173	196	59	379	404	276	290	577	379	338	358	180	338	210	333	411
Slfn14	12	5	59	99	83	0	8	0	61	25	4	15	21	123	145	190
Slfn2	10617	10925	15334	14910	13902	25873	31290	26599	9167	9584	10297	10886	13362	14240	21754	27109
Slfn3	122	89	313	434	416	244	206	176	425	499	309	131	171	425	488	532
Slfn4	18	47	4	2	1	153	28	108	6	23	4	28	39	0	0	1
Slfn5	2632	2740	52	251	282	1141	2774	2818	488	167	383	2525	2422	97	131	190
Slfn5os	6	0	0	3	0	0	0	0	0	0	0	0	3	0	2	0
Slfn8	1331	1140	98	560	513	885	1702	1682	649	804	942	920	1036	242	300	480
Slfn9	475	369	5	473	580	261	236	323	559	478	490	470	532	464	627	582
Slirp	680	693	1383	589	481	1216	908	801	584	863	639	1065	869	652	672	850
Slit1	4	0	1	0	0	0	31	0	1	0	0	13	10	0	0	7
Slit2	0	0	0	0	0	84	0	0	4	0	0	0	2	0	0	0
Slit3	2	0	2	24	26	10	0	1	41	36	49	2	22	0	3	17
Slitrk1	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	3
Slitrk2	1	2	3	1	2	0	3	2	2	3	4	3	1	0	2	3
Slitrk4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slitrk5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Slk	4996	4887	486	4283	3670	3693	4070	5104	3666	3395	2801	4337	5257	3511	4573	5232
Slmap	1331	1277	571	1399	1529	1303	1397	1464	1639	1665	1903	1199	1766	1276	1485	2230
Slmo1	23	25	0	0	0	66	41	38	7	0	0	26	27	0	7	0
Slmo2	3099	3057	4994	3874	3617	3546	3491	2964	3464	5342	3583	3090	3474	3764	3823	4615
Sln	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
Slpi	1863	1975	178	96	34	17307	12204	7934	1465	348	1500	2823	3374	99	122	62
Sltm	737	769	153	1681	1334	1036	883	852	922	1710	1097	1048	1143	1237	1405	1452
Slu7	3437	3203	838	4146	3649	2999	3730	3397	3665	3623	3212	3021	3706	4087	5143	6402
Slx1b	98	129	271	280	206	351	145	104	168	217	186	212	164	212	198	258
Slx4	271	346	51	365	451	147	360	217	558	316	498	266	440	336	282	639
Slx4ip	201	117	126	303	245	111	65	112	305	224	274	179	173	264	408	399
Smad1	1938	2095	1548	1878	1856	1367	1652	1479	1504	1970	1774	1471	1859	1504	2018	2439
Smad2	2709	2641	2698	3430	2876	2758	2714	2768	2655	3294	2833	2489	2846	2817	3428	3794
Smad3	601	828	1040	2378	2164	454	1180	1076	2118	1486	1674	397	1360	1786	2602	4240
Smad4	5214	5056	5133	5842	5331	3703	4980	4728	4972	4518	4879	3679	4882	4694	5944	8958
Smad5	472	704	673	1079	957	341	428	775	872	942	576	486	599	807	989	1101
Smad6	26	30	4	22	2	0	71	54	5	9	6	36	41	16	10	2
Smad7	1105	1038	276	92	121	699	718	955	724	1509	1415	619	615	132	132	173
Smad9	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Smagp	258	202	13	17	8	1209	1104	957	42	4	36	567	516	0	6	10
Smap1	792	850	553	941	829	1507	1270	1163	742	890	886	1086	1075	775	950	1263
Smap2	3598	3243	2569	4134	3541	3009	3381	3228	3343	2792	3011	3278	3854	3156	4674	6071
Smarca1	2	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0
Smarca2	2047	1853	300	1265	1508	818	1553	1547	1432	1487	1441	1604	1895	903	1298	2176
Smarca4	4941	5111	883	10427	9494	2502	4735	3823	8204	5780	4841	4861	7420	8440	11758	14266
Smarca5	5125	5402	3860	8322	8264	4766	5859	5452	9927	11586	9123	4517	6219	7639	9070	11424
Smarca5-ps	16	13	32	29	21	21	10	12	10	6	19	6	16	17	20	45
Smarcad1	923	655	1206	955	876	397	566	575	1104	1187	1084	800	940	732	1002	1314
Smarcal1	940	841	436	880	801	585	799	780	977	1019	875	890	1069	807	1114	1307
Smarcb1	2860	2976	3607	3431	3158	3097	2416	2547	3442	4356	3924	3041	3505	4076	3622	4100
Smarcc1	4097	4126	1829	7482	7959	2887	3582	3443	9031	9242	7601	3616	5537	7326	8444	10565
Smarcc2	2918	2706	333	2819	2305	1267	3023	2955	2676	2329	2210	2801	4134	2017	3070	3732
Smarcd1	1050	1009	1369	1811	1783	479	577	650	1718	1489	1116	801	1161	1429	2084	2881
Smarcd2	8638	8367	23875	21391	20865	5134	6859	6803	17080	13829	11728	8020	12033	21298	26734	33494
Smarcd3	15	6	2	13	4	39	5	14	6	7	10	16	23	10	8	1
Smarce1	2567	2659	2153	4361	3725	2022	2648	2143	3264	4140	2963	2653	2941	3865	4113	5427
Smc1a	3184	3165	450	7539	6965	3444	3663	3357	6085	6843	5380	4560	4946	8373	8346	8673
Smc1b	19	22	1	0	2	44	24	24	1	0	7	61	103	1	0	3
Smc2	1396	1744	633	6005	5936	1957	1393	1458	4481	5124	4088	2545	2906	8620	7421	7201
Smc2os	2	0	28	8	3	0	0	0	0	0	2	2	4	14	11	1
Smc3	2540	2530	987	8462	7646	2488	2216	2139	5645	5438	4215	2658	3527	7766	8891	9791
Smc4	4201	4133	1376	19164	15364	4635	3345	3575	11569	12918	8582	4682	6754	20687	20361	20545
Smc5	800	874	678	2080	1536	993	690	1125	1688	1662	1232	824	1315	1667	1744	2156
Smc6	3272	3553	897	3588	3462	3080	2742	2031	2935	4514	3288	2781	2619	4268	3947	4002
Smchd1	2460	2545	1282	2414	2685	1687	1793	2089	3559	3639	3917	1831	2454	2818	2993	3382
Smco1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Smco3	25	15	0	2	41	0	6	0	28	20	11	12	30	11	49	36
Smco4	135	108	124	115	99	68	86	44	93	162	135	241	214	50	33	89
Smcr8	1143	1119	420	836	747	366	746	791	799	528	517	452	1174	461	715	1532
Smdt1	5422	5307	7630	4490	3566	7626	6494	5062	3258	4021	3180	5931	5422	5091	5026	5859
Smek1	2961	2949	2422	4117	4214	1646	3018	2548	5062	4805	4659	2207	3386	3066	4401	5990
Smek2	4156	3763	3516	4751	4452	2669	3294	3756	5067	5939	5522	3117	4571	4040	5326	7142
Smg1	1043	1078	925	2757	2289	901	1109	1062	1999	1452	1572	1128	1457	1721	3048	3736
Smg5	902	931	548	1119	980	379	767	741	1170	1051	1151	898	1301	493	953	1281
Smg6	855	946	716	1790	1373	288	359	830	1356	930	1242	630	1079	1268	2014	2187
Smg7	1781	1911	519	2429	1916	723	1256	1531	2366	2180	2543	1365	1884	1624	2071	2610
Smg8	1047	1112	703	1370	1321	449	926	775	1162	1422	1076	763	1274	1312	1654	2297
Smg9	541	485	514	1043	912	534	592	744	786	1009	830	678	776	902	1086	1376
Smim1	8	4	0	0	0	8	15	45	0	4	11	15	15	4	1	1
Smim10l1	1115	1164	768	534	607	1126	1528	987	527	603	669	935	1244	414	525	836
Smim10l2a	44	52	15	6	8	76	61	60	11	0	12	23	43	0	0	10
Smim11	1019	792	2223	1512	1259	1419	1220	973	933	1154	1027	1117	1034	1669	1671	1765
Smim12	918	939	1647	1189	850	1156	1244	1210	883	1113	946	1152	1158	1117	1203	1515
Smim13	1222	1439	3846	3286	3939	559	956	698	3352	1673	1108	835	1751	2598	4605	7009
Smim14	6619	6461	3286	2557	2292	5084	5125	4229	2116	1986	1904	4539	4379	2666	3165	4075
Smim15	2192	2229	3903	2798	2668	2216	2029	1832	2656	3006	2372	1819	2206	2628	3052	4496
Smim18	2	3	2	1	0	0	0	1	3	3	4	1	3	0	2	11
Smim19	889	1007	1097	1059	799	934	790	898	806	1047	816	950	998	1093	1054	1072
Smim20	1443	1358	3706	2235	1928	2056	1555	1259	1901	1887	1240	1454	1539	2443	2859	3438
Smim22	4	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0
Smim24	415	508	430	386	331	209	304	169	223	196	161	180	170	419	360	420
Smim3	3627	3695	2366	1951	1625	2812	3613	2656	1306	521	435	2900	2525	900	1478	1998
Smim4	439	294	1305	590	427	608	364	371	423	665	527	361	401	556	578	758
Smim5	3215	3489	198	93	140	163	413	244	110	38	35	422	258	117	134	158
Smim6	104	90	58	21	28	2	12	18	11	7	10	7	11	17	14	26
Smim7	3914	3703	6367	4149	3787	4190	4391	4373	3317	3399	2693	3645	4063	4458	5256	6252
Smim8	599	512	1592	1017	936	862	419	488	738	807	839	613	550	1068	1198	1612
Smkr-ps	14	12	10	4	0	31	9	8	15	3	3	12	5	16	4	8
Smn1	632	518	751	1050	771	641	747	591	799	1557	968	757	789	979	1016	1403
Smndc1	1566	1705	1217	1728	1845	1728	1815	1486	1580	1955	1402	1684	1654	1658	1881	2295
Smo	680	534	4288	3134	2891	509	710	1140	3581	3718	2621	582	1398	2651	3537	4427
Smoc1	70	62	300	926	611	0	46	0	451	8	44	15	68	32	55	213
Smoc2	0	0	20	0	12	296	14	143	12	36	30	70	102	87	18	60
Smok4a	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Smox	1289	1147	614	1091	847	1926	2806	2636	1248	812	957	2039	2448	897	981	1410
Smpd1	1275	1133	2029	2035	1906	1843	1779	1651	1733	1308	1464	1110	1751	1879	2163	3231
Smpd2	577	527	1538	1360	1130	519	648	621	816	839	595	540	949	1109	1282	1720
Smpd3	204	206	30	14	13	63	110	92	22	71	44	49	71	12	10	21
Smpd4	971	1009	1569	1998	1945	886	1063	1155	2203	2867	2261	990	1356	1719	2088	2177
Smpd5	71	29	38	46	38	65	103	136	160	355	252	49	53	23	42	30
Smpdl3a	2691	3116	1132	628	555	15081	18032	15284	1347	2164	2921	5113	6600	547	653	848
Smpdl3b	300	281	5	0	12	657	549	656	26	16	69	473	354	9	16	0
Smpx	0	0	0	0	0	0	8	22	0	0	0	0	0	0	0	0
Sms	628	784	1068	516	586	444	600	627	764	1200	896	442	507	556	646	743
Smtn	329	420	143	924	898	325	227	228	642	414	331	331	518	830	1136	1275
Smtnl1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smtnl2	12	10	16	0	9	24	0	10	18	0	12	4	4	14	12	0
Smu1	5732	5934	13971	9024	9797	6194	6354	5941	9367	12245	9130	6074	6856	9887	10485	11945
Smug1	207	210	376	381	379	378	280	124	177	136	240	157	304	204	386	568
Smurf1	1876	1552	630	1191	892	884	1223	1226	670	896	845	1540	1823	649	1016	1535
Smurf2	613	551	560	482	395	659	775	753	844	1477	1946	660	900	531	629	755
Smyd1	10	19	28	27	48	0	0	0	27	18	2	23	36	14	92	46
Smyd2	508	572	932	715	665	1148	1060	929	1570	2703	2003	1081	1118	612	597	695
Smyd3	717	732	1585	1417	1455	791	814	835	1234	1933	1496	787	849	1473	1802	2364
Smyd4	318	292	577	394	462	181	266	395	447	731	500	235	409	517	452	486
Smyd5	1475	1268	768	602	590	1517	1329	1206	1219	2263	1778	1418	1822	380	515	639
Snai1	10	50	42	107	69	10	4	4	6	10	10	8	16	79	76	93
Snai2	0	6	0	0	0	35	7	12	2	0	3	10	16	0	0	0
Snai3	190	240	1271	963	926	139	128	126	750	970	671	191	388	1596	1732	1878
Snap23	5258	5551	3631	3644	3330	8821	10947	8133	2268	1915	2078	5990	6227	2235	3696	5121
Snap29	1732	1970	802	1172	1255	1577	1739	1607	1212	948	1159	1562	2056	1115	1399	1787
Snap47	972	827	1457	989	955	665	704	1027	1353	1789	1506	1090	1273	1065	1058	1210
Snap91	18	28	0	0	0	16	14	8	0	0	6	14	28	0	0	4
Snapc1	989	1097	780	832	828	751	566	714	869	1203	909	1014	1062	948	934	1251
Snapc2	819	876	1625	1539	1169	917	949	762	1172	1447	1057	779	903	1447	1670	1565
Snapc3	402	499	756	931	803	215	478	288	510	696	538	532	493	873	954	1232
Snapc4	381	359	26	236	243	154	265	215	492	475	489	386	354	219	214	377
Snapc5	1469	1420	1553	1641	1337	1903	1966	1832	1181	1530	1225	1735	1556	1556	1552	2247
Snapin	2423	2472	1436	1721	1415	3153	2723	2566	1629	1737	1594	1976	2195	1365	1596	2009
Snca	2	32	143	2	6	16	0	0	0	0	0	12	6	0	0	0
Sncaip	4	8	0	0	0	0	0	0	0	0	8	0	24	0	0	0
Sncg	38	0	2	2	0	0	11	6	0	0	0	14	21	0	0	0
Snd1	8952	9596	2885	4314	4721	6494	8229	8127	6476	9800	8439	7890	10696	4067	4368	6034
Sned1	42	33	0	0	0	31	0	44	0	0	19	34	50	0	0	2
Snf8	2361	2403	3819	2311	2234	2672	2768	2253	2561	3001	2328	2365	2628	3107	2997	3298
Snhg1	206	175	467	439	292	269	192	99	396	414	219	253	251	334	353	498
Snhg10	43	45	97	104	67	67	37	21	68	48	45	32	43	60	59	123
Snhg11	0	0	16	0	0	0	0	0	1	0	2	0	4	0	0	1
Snhg12	21	34	38	55	37	87	43	40	55	80	50	36	31	52	37	60
Snhg17	82	102	64	273	167	191	147	61	145	262	188	121	114	108	156	250
Snhg18	2	0	0	0	0	20	0	18	0	2	4	19	2	2	0	0
Snhg20	52	73	99	73	45	59	73	66	68	69	71	65	92	74	50	65
Snhg3	247	211	531	178	186	581	417	287	387	568	412	278	257	135	166	260
Snhg4	102	110	200	54	90	128	142	90	236	494	293	58	95	63	101	114
Snhg5	243	216	352	787	627	295	308	265	592	738	434	321	286	484	651	713
Snhg6	134	144	618	326	204	191	180	88	265	369	291	165	201	210	272	425
Snhg7	20	14	83	51	26	30	17	26	62	53	49	26	33	37	58	62
Snhg8	106	94	357	221	178	145	99	113	186	325	195	170	160	164	185	230
Snhg9	10	9	44	27	15	19	16	13	20	18	16	14	12	10	8	30
Snip1	1451	1507	2152	2351	2408	941	1176	997	2095	1716	1589	1346	1571	2127	2627	3543
Snn	1518	1107	522	536	583	476	577	487	513	242	196	447	692	551	571	961
Snora15	0	5	1	1	0	0	0	1	3	0	1	1	0	0	1	0
Snora16a	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Snora17	1	1	16	3	1	0	0	0	2	4	5	0	8	0	0	3
Snora20	0	0	1	1	0	0	0	0	0	2	0	2	0	0	0	0
Snora21	2	0	2	0	3	0	2	0	0	4	1	1	3	3	2	0
Snora23	0	0	5	2	0	0	2	0	2	2	1	0	1	2	1	1
Snora28	62	74	62	56	53	49	47	58	88	37	64	41	50	7	51	48
Snora2b	0	3	7	5	5	1	1	0	2	3	3	1	3	5	5	4
Snora3	10	8	23	6	5	4	9	2	4	6	11	10	9	4	14	13
Snora30	2	0	4	8	2	0	0	4	2	2	0	0	2	0	3	2
Snora31	14	10	10	14	13	13	11	13	14	13	13	10	21	5	21	16
Snora33	1	0	7	3	0	8	2	0	3	3	2	7	5	2	1	5
Snora34	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1
Snora41	5	2	1	0	1	0	5	8	1	1	2	3	3	2	2	2
Snora43	0	0	9	4	1	13	3	2	3	0	1	2	0	0	1	4
Snora44	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0
Snora47	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Snora52	1	6	0	2	0	0	0	4	0	0	2	4	1	5	0	1
Snora5c	0	0	0	2	1	0	0	0	1	0	1	1	1	3	0	0
Snora61	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0
Snora62	2	2	4	2	0	0	4	0	1	0	1	1	1	2	0	1
Snora64	14	13	8	23	23	18	13	13	20	26	16	24	14	6	22	19
Snora65	15	8	6	8	5	10	13	13	9	14	8	10	15	12	8	14
Snora68	17	15	53	24	22	15	21	4	16	19	21	15	30	21	21	37
Snora69	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2
Snora70	11	9	1	5	5	18	23	10	10	7	5	24	31	4	3	5
Snora74a	0	0	1	0	0	1	0	2	1	0	0	1	0	0	1	0
Snora75	0	3	2	4	5	0	2	3	3	1	3	3	4	1	1	6
Snora78	1	1	31	7	4	0	1	5	2	5	3	4	5	6	3	12
Snora7a	3	3	25	9	4	4	18	5	24	24	12	13	15	1	4	7
Snora81	8	14	9	3	3	6	16	25	10	4	12	3	11	0	8	2
Snord100	1	4	1	3	1	11	4	2	6	3	1	5	6	4	4	7
Snord104	2	10	30	7	10	28	8	2	4	14	8	7	6	7	2	18
Snord11	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Snord110	2	3	3	2	2	0	1	4	5	0	4	0	4	3	1	7
Snord118	4	1	4	2	6	0	0	0	0	1	1	0	5	3	4	3
Snord12	1	6	1	1	0	3	2	2	0	3	1	1	4	0	0	2
Snord15a	2	0	1	3	1	0	0	2	0	0	0	1	0	0	0	1
Snord15b	1	0	1	3	0	0	0	3	0	3	2	2	0	2	1	3
Snord16a	2	1	0	4	3	0	8	2	3	4	0	1	3	0	2	1
Snord17	12	14	22	5	8	10	0	4	8	13	7	8	6	9	12	12
Snord19	2	2	6	6	2	2	1	0	2	3	8	2	1	0	9	0
Snord1b	0	0	2	0	0	1	0	0	0	2	0	0	0	0	1	1
Snord1c	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Snord2	3	3	4	2	2	0	1	7	3	1	1	2	3	0	6	0
Snord22	5	2	0	7	7	3	2	0	9	1	4	1	3	2	8	8
Snord23	3	0	0	0	0	0	0	3	1	0	0	3	0	0	1	1
Snord32a	1	0	1	2	0	0	0	1	1	0	2	4	1	0	0	0
Snord33	0	0	2	1	0	0	0	1	0	2	4	2	0	0	0	0
Snord34	2	1	1	0	0	0	4	3	0	2	1	3	2	0	2	0
Snord35a	2	4	2	5	2	0	3	3	2	2	0	4	4	2	3	0
Snord35b	29	20	48	38	29	44	60	62	90	159	189	14	19	19	41	54
Snord37	2	3	4	1	6	0	1	1	4	0	2	2	6	0	3	1
Snord38a	5	1	5	3	1	0	0	0	1	3	1	2	5	2	0	2
Snord42a	5	0	2	5	3	1	1	11	0	0	1	2	1	0	0	1
Snord42b	0	1	1	4	1	2	1	2	3	3	5	4	0	4	4	1
Snord43	1	0	3	1	0	1	0	0	0	0	0	0	0	1	0	0
Snord45b	1	1	0	2	3	0	0	0	3	1	1	1	5	2	0	6
Snord47	4	10	0	10	3	2	18	5	9	9	2	3	4	0	4	3
Snord49a	1	10	4	3	3	0	5	4	3	1	3	8	11	1	5	9
Snord49b	10	19	18	16	3	28	23	16	6	16	10	23	10	10	5	5
Snord4a	6	5	5	5	5	1	3	3	6	1	4	4	3	2	1	2
Snord52	0	2	2	1	4	4	1	2	3	3	2	1	3	0	1	2
Snord53	5	2	0	1	0	0	0	4	2	0	2	4	0	1	0	0
Snord55	6	6	14	14	10	15	6	0	6	11	11	12	9	7	10	10
Snord57	6	5	7	10	4	3	9	9	12	7	3	2	3	1	3	8
Snord58b	8	7	3	3	5	6	3	1	7	3	1	5	7	3	0	7
Snord61	0	0	2	3	3	0	0	0	0	0	0	0	0	0	2	0
Snord65	7	5	2	4	5	5	9	6	10	2	9	1	1	1	2	4
Snord66	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
Snord67	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0
Snord68	1	0	1	0	1	2	1	1	0	2	0	5	6	0	0	1
Snord69	0	0	0	0	0	0	0	0	1	0	2	3	1	0	0	0
Snord70	1	0	2	2	0	0	0	0	1	2	1	0	1	0	0	1
Snord71	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Snord72	2	0	0	2	2	1	2	7	2	5	6	6	7	2	0	3
Snord73a	6	2	1	8	0	2	2	1	6	4	0	0	2	3	3	9
Snord8	0	0	3	12	5	4	2	0	1	1	3	2	1	0	2	1
Snord82	1	0	2	2	0	0	0	1	0	0	0	1	1	2	2	3
Snord83b	2	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0
Snord85	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
Snord87	0	1	1	0	0	1	4	0	3	2	2	4	2	1	3	3
Snord88a	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Snord88c	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Snord89	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2
Snord90	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Snord91a	1	0	1	1	1	0	2	0	4	1	0	4	1	0	6	11
Snord92	1	0	2	1	0	0	3	1	1	1	0	0	0	0	0	0
Snord93	1	1	2	2	3	0	0	2	2	2	4	3	1	0	0	7
Snord95	7	0	5	4	4	2	2	2	4	4	7	0	5	2	3	5
Snord96a	2	9	5	12	8	3	3	1	5	7	8	15	5	7	5	7
Snord98	0	1	0	0	0	0	1	1	0	0	0	0	2	0	2	3
Snord99	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1
Snph	33	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrk	2039	2279	1496	2507	2620	1381	1439	1424	2198	2148	2338	1424	2067	1707	2537	3709
Snrnp200	5549	5632	2612	5133	5549	2369	3607	4342	9496	8222	9464	3324	5880	4517	6231	9813
Snrnp25	1088	974	4044	1842	1770	1686	1250	1015	1788	2333	1814	991	1027	2675	2314	2213
Snrnp27	1413	1397	2510	1914	1796	1768	1380	1180	1555	1943	1222	1774	1618	2229	2218	2718
Snrnp35	376	389	336	479	421	329	497	435	308	267	267	480	422	424	527	528
Snrnp40	3749	3730	10908	6779	6707	3508	3131	3188	6275	8906	6935	3649	4495	6645	7279	8274
Snrnp48	186	187	531	618	478	132	292	243	344	508	368	246	270	566	631	623
Snrnp70	1635	1952	1812	3507	3186	1934	1932	1856	3276	4248	3522	2352	2537	3110	3481	3937
Snrpa	2968	3161	3362	3797	3732	2783	2566	2164	3631	4920	3611	3248	3789	4593	4533	4652
Snrpa1	2464	2512	5782	4212	4418	3926	3191	2794	4524	7469	5094	3466	3543	5450	5145	5184
Snrpb	12092	12223	22006	18844	18627	14955	13538	13152	16934	24032	17732	14729	14839	23551	21079	22298
Snrpb2	1806	1711	3926	2463	2556	2253	1861	1880	2367	3163	2582	2005	2079	2988	3019	3498
Snrpc	909	774	2263	1324	1006	900	951	771	1066	1424	1005	891	823	1191	1189	1962
Snrpd1	2165	2140	8424	3674	3570	3282	2666	2347	4149	5682	4045	3270	2947	4880	4256	4862
Snrpd2	1377	1490	3240	2094	1800	2166	1673	1435	2119	2998	2007	1604	1693	2442	2162	2445
Snrpd3	2563	2863	5307	3637	3442	3684	3674	2939	4170	6806	5453	3405	3189	3855	4110	4357
Snrpe	3021	2756	14191	5940	5333	4865	3372	2685	5042	6662	4565	3557	3273	6216	5407	7703
Snrpf	301	330	1062	511	365	465	418	357	506	800	538	348	350	409	398	604
Snrpg	1699	1667	6990	3182	2697	2961	2025	1687	2804	3863	2932	2302	1924	3339	2874	3518
Snta1	195	131	20	0	8	589	712	466	13	20	27	395	444	8	2	4
Sntb1	87	101	0	19	6	8	12	45	56	135	143	11	7	10	0	3
Sntb2	291	228	189	171	148	483	617	917	204	262	248	492	551	158	103	127
Sntg1	0	1	0	0	0	2	0	0	0	1	2	0	1	0	0	0
Sntg2	38	34	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Snupn	493	449	485	505	519	299	337	465	539	590	550	702	774	658	801	731
